habitat_type,stationID,latitude,longitude,
emergentMarsh,CRLA01,42.49813444,-88.0913262,
emergentMarsh,CRLA02,42.49819124,-88.09127696,
emergentMarsh,CRLA03,42.49818192,-88.09134767,
emergentMarsh,CRLA04,42.49814375,-88.09140701,
emergentMarsh,CRLA05,42.498235,-88.09120877,
emergentMarsh,CRLA06,42.49811954,-88.09147773,
emergentMarsh,CRLA07,42.49822941,-88.09125549,
emergentMarsh,CRLA08,42.49808323,-88.09145121,
emergentMarsh,CRLA09,42.49821545,-88.09114311,
emergentMarsh,CRLA10,42.49826293,-88.09109891,
emergentMarsh,CRLA11,42.49812048,-88.09131357,
emergentMarsh,CRLA12,42.4980581,-88.09146131,
emergentMarsh,CRLA13,42.49827317,-88.09113301,
emergentMarsh,CRLA14,42.49831973,-88.0909234,
emergentMarsh,CRLA15,42.49836442,-88.09085016,
emergentMarsh,CRLA16,42.49769315,-88.09117844,
emergentMarsh,CRLA17,42.49766429,-88.09114939,
emergentMarsh,CRLA18,42.49758701,-88.09113929,
emergentMarsh,CRLA19,42.4975386,-88.09109509,
emergentMarsh,CRLA20,42.49749112,-88.09108625,
emergentMarsh,CRLA21,42.49738219,-88.0909726,
emergentMarsh,CRLA22,42.49772573,-88.09119107,
emergentMarsh,CRLA23,42.49755586,-88.09113239,
emergentMarsh,CRLA24,42.49746462,-88.09102884,
emergentMarsh,CRLA25,42.49747114,-88.09109829,
emergentMarsh,CRLA26,42.49764989,-88.091217,
emergentMarsh,CRLA27,42.49762382,-88.09124604,
emergentMarsh,CRLA28,42.49759869,-88.09117659,
emergentMarsh,CRLA29,42.49753352,-88.09116017,
emergentMarsh,CRLA30,42.49749535,-88.09113744,
emergentMarsh,DELA01,42.43250243,-88.07812798,
emergentMarsh,DELA02,42.43170281,-88.0757877,
emergentMarsh,DELA03,42.43153784,-88.07764882,
emergentMarsh,DELA04,42.43097828,-88.07772784,
emergentMarsh,DELA05,42.43134473,-88.07447062,
emergentMarsh,DELA06,42.43100701,-88.07874092,
emergentMarsh,DELA07,42.43058515,-88.07809467,
emergentMarsh,DELA08,42.4302326,-88.07314008,
emergentMarsh,DELA09,42.43199423,-88.07825943,
emergentMarsh,DELA10,42.42993761,-88.07836257,
emergentMarsh,DELA11,42.42829665,-88.07413804,
emergentMarsh,DELA12,42.42965416,-88.07327359,
emergentMarsh,DELA13,42.42920212,-88.07285374,
emergentMarsh,DELA14,42.43083476,-88.07117727,
emergentMarsh,DELA15,42.42812061,-88.07373087,
emergentMarsh,DELA16,42.43050861,-88.07876559,
emergentMarsh,DELA17,42.42974817,-88.07865371,
emergentMarsh,DELA18,42.43169347,-88.07087216,
emergentMarsh,DELA19,42.42865015,-88.07255276,
emergentMarsh,DELA20,42.42917401,-88.07198201,
emergentMarsh,DELA21,42.42999512,-88.0712338,
emergentMarsh,DELA22,42.43090181,-88.0733809,
emergentMarsh,DELA23,42.43207234,-88.07686281,
emergentMarsh,DELA24,42.43037487,-88.07969248,
emergentMarsh,DELA25,42.4315962,-88.07513524,
emergentMarsh,DELA26,42.42880876,-88.07296016,
emergentMarsh,DELA27,42.42776968,-88.07398656,
emergentMarsh,DELA28,42.43116238,-88.07069589,
emergentMarsh,DELA29,42.42928994,-88.07032784,
emergentMarsh,DELA30,42.43056203,-88.07086674,
emergentMarsh,CELA01,42.42265225,-88.1006503,
emergentMarsh,CELA02,42.42332263,-88.10036087,
emergentMarsh,CELA03,42.42336348,-88.10069258,
emergentMarsh,CELA04,42.42316028,-88.10012227,
emergentMarsh,CELA05,42.42355617,-88.09999267,
emergentMarsh,CELA06,42.4240574,-88.09832699,
emergentMarsh,CELA07,42.42407903,-88.09796026,
emergentMarsh,CELA08,42.42280842,-88.10097259,
emergentMarsh,CELA09,42.42259421,-88.10028457,
emergentMarsh,CELA10,42.42254264,-88.10112535,
emergentMarsh,CELA11,42.42258754,-88.10162624,
emergentMarsh,CELA12,42.42296643,-88.10156421,
emergentMarsh,CELA13,42.42246597,-88.10051551,
emergentMarsh,CELA14,42.42222575,-88.10112116,
emergentMarsh,CELA15,42.42228841,-88.10164256,
emergentMarsh,CELA16,42.4221261,-88.1003519,
emergentMarsh,CELA17,42.42204552,-88.10080345,
emergentMarsh,CELA18,42.42138456,-88.09839316,
emergentMarsh,CELA19,42.42140207,-88.09883542,
emergentMarsh,CELA20,42.42162065,-88.10077223,
emergentMarsh,CELA21,42.4216331,-88.09757806,
emergentMarsh,CELA22,42.42178277,-88.1011899,
emergentMarsh,CELA23,42.42198379,-88.10169039,
emergentMarsh,CELA24,42.4215138,-88.10003829,
emergentMarsh,CELA25,42.42122743,-88.09847964,
emergentMarsh,CELA26,42.4214488,-88.10053699,
emergentMarsh,CELA27,42.42130261,-88.09984052,
emergentMarsh,CELA28,42.42115831,-88.09797985,
emergentMarsh,CELA29,42.42147278,-88.09790487,
emergentMarsh,CELA30,42.42137243,-88.10097603,
emergentMarsh,ALMA01,42.33939456,-87.98485676,
emergentMarsh,ALMA02,42.33952254,-87.98513014,
emergentMarsh,ALMA03,42.33947177,-87.98448579,
emergentMarsh,ALMA04,42.33933755,-87.98494842,
emergentMarsh,ALMA05,42.33935241,-87.98535243,
emergentMarsh,ALMA06,42.33588855,-87.98511535,
emergentMarsh,ALMA07,42.33587118,-87.98521818,
emergentMarsh,ALMA08,42.33580773,-87.98546135,
emergentMarsh,ALMA09,42.33559243,-87.98535593,
emergentMarsh,ALMA10,42.33553476,-87.98515719,
emergentMarsh,ALMA11,42.33552623,-87.9853247,
emergentMarsh,ALMA12,42.33578922,-87.98489727,
emergentMarsh,ALMA13,42.33568842,-87.9847839,
emergentMarsh,ALMA14,42.33548767,-87.98461531,
emergentMarsh,ALMA15,42.33525796,-87.98473387,
emergentMarsh,ALMA16,42.33606074,-87.9864324,
emergentMarsh,ALMA17,42.3356196,-87.98659187,
emergentMarsh,ALMA18,42.33555728,-87.98665807,
emergentMarsh,ALMA19,42.33506087,-87.98655424,
emergentMarsh,ALMA20,42.33502033,-87.98650164,
emergentMarsh,ALMA21,42.33550553,-87.98672527,
emergentMarsh,ALMA22,42.33545357,-87.9868276,
emergentMarsh,ALMA23,42.33509368,-87.98604228,
emergentMarsh,ALMA24,42.33503611,-87.98608255,
emergentMarsh,ALMA25,42.33497556,-87.98614358,
emergentMarsh,ALMA26,42.33543352,-87.98525303,
emergentMarsh,ALMA27,42.33535258,-87.98527856,
emergentMarsh,ALMA28,42.3354043,-87.98516796,
emergentMarsh,ALMA29,42.33526703,-87.98541425,
emergentMarsh,ALMA30,42.33578862,-87.98499713,
emergentMarsh,DELA31,42.43070708,-88.07295226,
emergentMarsh,DELA32,42.43042857,-88.07799484,
emergentMarsh,DELA33,42.4303874,-88.07825949,
emergentMarsh,DELA34,42.4302862,-88.07857053,
emergentMarsh,DELA35,42.43086928,-88.07835254,
emergentMarsh,DELA36,42.43013937,-88.07804904,
emergentMarsh,DELA37,42.42956646,-88.07836483,
emergentMarsh,DELA38,42.42992353,-88.07785902,
emergentMarsh,DELA39,42.42974699,-88.07767787,
emergentMarsh,DELA40,42.43016097,-88.07920165,
emergentMarsh,DELA41,42.43071862,-88.07866955,
emergentMarsh,DELA42,42.42945042,-88.07872739,
emergentMarsh,DELA43,42.42965384,-88.07866244,
emergentMarsh,DELA44,42.43084414,-88.07782496,
emergentMarsh,DELA45,42.42931941,-88.07723936,
emergentMarsh,DELA46,42.42920172,-88.07706515,
emergentMarsh,DELA47,42.42895463,-88.07682154,
emergentMarsh,DELA48,42.42870218,-88.07667493,
emergentMarsh,DELA49,42.42849216,-88.0765552,
emergentMarsh,DELA50,42.42813372,-88.07606171,
emergentMarsh,DELA51,42.42809874,-88.0758465,
emergentMarsh,DELA52,42.42797271,-88.07558444,
emergentMarsh,DELA53,42.4273252,-88.07498022,
emergentMarsh,DELA54,42.42755047,-88.07477905,
emergentMarsh,DELA55,42.42773719,-88.07475939,
emergentMarsh,DELA56,42.42811981,-88.07505052,
emergentMarsh,DELA57,42.42757408,-88.07396721,
emergentMarsh,DELA58,42.42843173,-88.07362915,
emergentMarsh,DELA59,42.42837189,-88.07326274,
emergentMarsh,DELA60,42.42941591,-88.07093433,
emergentMarsh,DELA61,42.42947336,-88.07128611,
emergentMarsh,DELA62,42.42941316,-88.07166496,
emergentMarsh,DELA63,42.42901771,-88.0720449,
emergentMarsh,DELA64,42.42903654,-88.07061771,
emergentMarsh,DELA65,42.42883501,-88.07013273,
emergentMarsh,DELA66,42.4290662,-88.07092503,
emergentMarsh,DELA67,42.43038778,-88.07121712,
emergentMarsh,DELA68,42.43077718,-88.07038282,
emergentMarsh,DELA69,42.43033422,-88.07159876,
emergentMarsh,DELA70,42.4315439,-88.07496899,
emergentMarsh,DELA71,42.42814619,-88.0729571,
emergentMarsh,DELA72,42.4282813,-88.07224729,
emergentMarsh,DELA73,42.42821986,-88.07133174,
emergentMarsh,DELA74,42.42801459,-88.07278613,
emergentMarsh,DELA75,42.42879587,-88.071762,
emergentMarsh,DELA76,42.42927325,-88.07137752,
emergentMarsh,DELA77,42.42938479,-88.07039898,
emergentMarsh,DELA78,42.4296654,-88.07196866,
emergentMarsh,DELA79,42.42994591,-88.07046538,
emergentMarsh,DELA80,42.42980075,-88.07127175,
emergentMarsh,DELA81,42.4294611,-88.07279666,
emergentMarsh,DELA82,42.42891099,-88.07275565,
emergentMarsh,DELA83,42.42945411,-88.07316698,
emergentMarsh,DELA84,42.42967379,-88.07262818,
emergentMarsh,DELA85,42.4297777,-88.07281148,
emergentMarsh,DELA86,42.43025342,-88.07253068,
emergentMarsh,DELA87,42.43019092,-88.07282181,
emergentMarsh,DELA88,42.43113476,-88.07334766,
emergentMarsh,DELA89,42.43122814,-88.0736952,
emergentMarsh,DELA90,42.4311298,-88.07418679,
emergentMarsh,ALMA31,42.33739611,-87.98498572,
emergentMarsh,ALMA32,42.33728688,-87.98494664,
emergentMarsh,ALMA33,42.33819641,-87.98493931,
emergentMarsh,ALMA34,42.33885776,-87.98439224,
emergentMarsh,ALMA35,42.33982216,-87.98529397,
emergentMarsh,ALMA36,42.33969123,-87.98316062,
emergentMarsh,ALMA37,42.3388549,-87.9805702,
emergentMarsh,ALMA38,42.33814971,-87.9803979,
emergentMarsh,ALMA39,42.33770986,-87.97898477,
emergentMarsh,ALMA40,42.33679011,-87.97870284,
emergentMarsh,ALMA41,42.33643861,-87.97985894,
emergentMarsh,ALMA42,42.33527831,-87.98069482,
emergentMarsh,ALMA43,42.33520689,-87.98074084,
emergentMarsh,ALMA44,42.33584693,-87.98238236,
emergentMarsh,ALMA45,42.3362034,-87.98424755,
emergentMarsh,ALMA46,42.33606198,-87.98425317,
emergentMarsh,ALMA47,42.33596324,-87.9841966,
emergentMarsh,ALMA48,42.33574767,-87.98390944,
emergentMarsh,ALMA49,42.33559589,-87.98354926,
emergentMarsh,ALMA50,42.33549629,-87.98343865,
emergentMarsh,ALMA51,42.33538787,-87.98337095,
emergentMarsh,ALMA52,42.3352839,-87.98338449,
emergentMarsh,ALMA53,42.33524951,-87.98344674,
emergentMarsh,ALMA54,42.33514519,-87.9846543,
emergentMarsh,ALMA55,42.33509153,-87.98460581,
emergentMarsh,ALMA56,42.33504903,-87.98448854,
emergentMarsh,ALMA57,42.33563911,-87.98473895,
emergentMarsh,ALMA58,42.33561218,-87.98464027,
emergentMarsh,ALMA59,42.33594645,-87.98507006,
emergentMarsh,ALMA60,42.33570864,-87.98556289,
emergentMarsh,ALMA61,42.33511127,-87.98577548,
emergentMarsh,ALMA62,42.33516022,-87.98562421,
emergentMarsh,ALMA63,42.3352111,-87.98548984,
emergentMarsh,ALMA64,42.33497467,-87.98662433,
emergentMarsh,ALMA65,42.33494658,-87.98681038,
emergentMarsh,ALMA66,42.33494754,-87.98656003,
emergentMarsh,ALMA67,42.33493335,-87.98645693,
emergentMarsh,ALMA68,42.33490655,-87.98637076,
emergentMarsh,ALMA69,42.33521523,-87.98694907,
emergentMarsh,ALMA70,42.33540222,-87.98690219,
emergentMarsh,ALMA71,42.33570509,-87.98651065,
emergentMarsh,ALMA72,42.33587098,-87.9863695,
emergentMarsh,ALMA73,42.33608733,-87.98636383,
emergentMarsh,ALMA74,42.33610736,-87.98610574,
emergentMarsh,ALMA75,42.33609861,-87.9858398,
emergentMarsh,ALMA76,42.33614909,-87.98549734,
emergentMarsh,ALMA77,42.33631481,-87.98525094,
emergentMarsh,ALMA78,42.33665722,-87.98477738,
emergentMarsh,ALMA79,42.33725765,-87.98495556,
emergentMarsh,ALMA80,42.33719508,-87.98490144,
emergentMarsh,ALMA81,42.33762463,-87.98484594,
emergentMarsh,ALMA82,42.33749602,-87.98497369,
emergentMarsh,ALMA83,42.33828216,-87.98513664,
emergentMarsh,ALMA84,42.3383892,-87.98535191,
emergentMarsh,ALMA85,42.3385185,-87.98567447,
emergentMarsh,ALMA86,42.33883517,-87.98580452,
emergentMarsh,ALMA87,42.33902196,-87.98565309,
emergentMarsh,ALMA88,42.33928435,-87.98542709,
emergentMarsh,ALMA89,42.33948275,-87.98523066,
emergentMarsh,ALMA90,42.33967694,-87.98529487,
floatingAquaticVeg,CRLA01,42.49964906,-88.08877069,
floatingAquaticVeg,CRLA02,42.49964906,-88.08886542,
floatingAquaticVeg,CRLA03,42.49877825,-88.08943163,
floatingAquaticVeg,CRLA04,42.49913701,-88.08915737,
floatingAquaticVeg,CRLA05,42.49994019,-88.08788892,
floatingAquaticVeg,CRLA06,42.49994019,-88.08788892,
