month,day,year,date,site,stationID,species,distance,groupSize,latitude,longitude
6,1,2017,6/1/2017,ARCR,ARCR02,BGGN,33,1,41.7629,-87.87076
6,1,2017,6/1/2017,ARCR,ARCR04,BGGN,36,1,41.76476,-87.87407
6,1,2017,6/1/2017,ARCR,ARCR05,BGGN,36,1,41.76657,-87.87308
5,16,2017,5/16/2017,ARCR,ARCR06,BGGN,18,2,41.7685,-87.87268
6,1,2017,6/1/2017,ARCR,ARCR06,BGGN,36,1,41.7685,-87.87268
6,1,2017,6/1/2017,ARCR,ARCR08,BGGN,67,1,41.77164,-87.87538
6,1,2017,6/1/2017,ARCR,ARCR12,BGGN,11,1,41.76522,-87.8798
5,10,2017,5/10/2017,BEWO,BEWO02,BGGN,47,1,41.8259,-87.91381
5,26,2017,5/26/2017,BEWO,BEWO02,BGGN,26,2,41.8259,-87.91381
6,12,2017,6/12/2017,BEWO,BEWO03,BGGN,90,1,41.82566,-87.91119
5,10,2017,5/10/2017,BEWO,BEWO06,BGGN,45,1,41.8267,-87.90647
9,7,2017,9/7/2017,BEWO,BEWO07,BGGN,72,1,41.82479,-87.90684
5,10,2017,5/10/2017,BEWO,BEWO09,BGGN,35,1,41.82271,-87.90384
5,26,2017,5/26/2017,BEWO,BEWO09,BGGN,91,1,41.82271,-87.90384
5,10,2017,5/10/2017,BEWO,BEWO10,BGGN,23,1,41.82432,-87.9027
9,7,2017,9/7/2017,BEWO,BEWO11,BGGN,5,1,41.82235,-87.90875
4,28,2017,4/28/2017,BEWO,BEWO12,BGGN,3,1,41.82256,-87.91136
5,10,2017,5/10/2017,BEWO,BEWO12,BGGN,24,2,41.82256,-87.91136
6,12,2017,6/12/2017,BEWO,BEWO12,BGGN,89,1,41.82256,-87.91136
4,28,2017,4/28/2017,BEWO,BEWO13,BGGN,18,1,41.82069,-87.91043
4,28,2017,4/28/2017,BEWO,BEWO14,BGGN,33,1,41.82394,-87.9138
5,10,2017,5/10/2017,BEWO,BEWO14,BGGN,14,1,41.82394,-87.9138
5,10,2017,5/10/2017,BEWO,BEWO18,BGGN,33,1,41.8266,-87.90261
5,16,2017,5/16/2017,BLPA,BLPA01,BGGN,36,2,41.6816,-88.02667
5,16,2017,5/16/2017,BLPA,BLPA01,BGGN,23,1,41.6816,-88.02667
6,13,2017,6/13/2017,BLPA,BLPA01,BGGN,42,1,41.6816,-88.02667
6,13,2017,6/13/2017,BLPA,BLPA01,BGGN,23,1,41.6816,-88.02667
5,16,2017,5/16/2017,BLPA,BLPA02,BGGN,6,1,41.6826,-88.02465
5,16,2017,5/16/2017,BLPA,BLPA02,BGGN,11,1,41.6826,-88.02465
6,13,2017,6/13/2017,BLPA,BLPA02,BGGN,76,1,41.6826,-88.02465
5,16,2017,5/16/2017,BLPA,BLPA03,BGGN,35,1,41.68409,-88.0233
6,13,2017,6/13/2017,BLPA,BLPA03,BGGN,31,2,41.68409,-88.0233
